method,requested_components,components,stopping_epsilon,fit_seconds,total_seconds,max_residual,mean_residual,median_residual,max_relative_residual,mean_relative_residual,median_relative_residual,max_train_relative_residual,mean_train_relative_residual,median_train_relative_residual,max_test_relative_residual,mean_test_relative_residual,median_test_relative_residual,selected_indices,selected_original_indices,selected_radii
Angular Defect Greedy,24,24,1.910544925334037997e-02,0.037386998,0.070675342,1.910544925334037997e-02,4.628257688352876639e-03,2.567044460793370029e-04,6.745815247752069699e-02,1.612283471620033770e-02,8.483182017769236522e-04,2.240372228334210070e-03,3.535144304996123889e-04,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05, 1.0, 0.95, 0.94]"
CPG,25,25,1.910544925334037997e-02,0.026887281,0.063948163,1.910544925334037997e-02,4.608252545792711555e-03,1.027504233618879091e-04,6.745815247752069699e-02,1.605603262274376414e-02,3.436047793523167981e-04,2.086905621553966726e-03,2.457691184728862436e-04,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0, 1.05, 0.95, 0.94, 1.01]"
Angular Defect Greedy,25,25,1.910544925334037997e-02,0.039588045,0.075167010,1.910544925334037997e-02,4.608252545792711555e-03,1.027504233618879091e-04,6.745815247752069699e-02,1.605603262274377108e-02,3.436047793523167981e-04,2.086905621553966726e-03,2.457691184728870567e-04,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05, 1.0, 0.95, 0.94, 1.01]"
CPG,26,26,1.910544925334037997e-02,0.028549516,0.067904967,1.910544925334037997e-02,4.595552199725917372e-03,9.235642421022033187e-17,6.745815247752069699e-02,1.601457960655628190e-02,3.028047279120164761e-16,2.086905621553966726e-03,1.789094149446837743e-04,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0, 1.05, 0.95, 0.94, 1.01, 0.93]"
Angular Defect Greedy,26,26,1.910544925334037997e-02,0.041796357,0.079675515,1.910544925334037997e-02,4.595448951063795667e-03,9.235642421022033187e-17,6.745815247752069699e-02,1.601303473583918363e-02,3.028047279120164761e-16,2.072650809374386623e-03,1.764176879816176677e-04,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05, 1.0, 0.95, 0.94, 1.01, 1.04]"
CPG,27,27,1.910544925334037997e-02,0.030546894,0.072403596,1.910544925334037997e-02,4.582748604997001485e-03,8.036095098087876068e-17,6.745815247752069699e-02,1.597158171965169446e-02,2.598490852529513446e-16,1.066979532366181972e-03,1.095579844534138160e-04,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13, 24]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13, 24]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0, 1.05, 0.95, 0.94, 1.01, 0.93, 1.04]"
Angular Defect Greedy,27,27,1.910544925334037997e-02,0.044601345,0.084890654,1.910544925334037997e-02,4.582748604997001485e-03,8.036095098087876068e-17,6.745815247752069699e-02,1.597158171965169446e-02,2.598490852529513446e-16,1.066979532366203439e-03,1.095579844534149951e-04,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24, 13]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24, 13]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05, 1.0, 0.95, 0.94, 1.01, 1.04, 0.93]"
CPG,28,28,1.910544925334037997e-02,0.032338552,0.076642819,1.910544925334037997e-02,4.573409810171153757e-03,7.704247905738908151e-17,6.745815247752069699e-02,1.594060535471140266e-02,2.443261107501600583e-16,7.161885812230685700e-04,5.959610551745865201e-05,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13, 24, 19]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13, 24, 19]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0, 1.05, 0.95, 0.94, 1.01, 0.93, 1.04, 0.99]"
Angular Defect Greedy,28,28,1.910544925334037997e-02,0.046951401,0.090153181,1.910544925334037997e-02,4.573409810171153757e-03,7.704247905738908151e-17,6.745815247752069699e-02,1.594060535471140266e-02,2.443261107501600583e-16,7.161885812230634743e-04,5.959610551745968878e-05,1.041285848999739275e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24, 13, 19]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24, 13, 19]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05, 1.0, 0.95, 0.94, 1.01, 1.04, 0.93, 0.99]"
CPG,29,29,1.910544925334037997e-02,0.034229005,0.081178739,1.910544925334037997e-02,4.566826099764447963e-03,7.179136352875224210e-17,6.745815247752069699e-02,1.591886299007604089e-02,2.360822026511999641e-16,6.872095587042958672e-04,2.452777546042365830e-05,1.004323636536690571e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13, 24, 19, 17]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13, 24, 19, 17]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0, 1.05, 0.95, 0.94, 1.01, 0.93, 1.04, 0.99, 0.97]"
Angular Defect Greedy,29,29,1.910544925334037997e-02,0.049436108,0.095322734,1.910544925334037997e-02,4.566826099764447963e-03,7.179136352875224210e-17,6.745815247752069699e-02,1.591886299007604089e-02,2.360822026511999641e-16,6.872095587042958672e-04,2.452777546042399711e-05,1.004323636536690571e-16,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24, 13, 19, 17]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24, 13, 19, 17]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05, 1.0, 0.95, 0.94, 1.01, 1.04, 0.93, 0.99, 0.97]"
CPG,30,30,1.910544925334037997e-02,0.036303754,0.086315690,1.910544925334037997e-02,4.562716082829975164e-03,6.417365285951795737e-17,6.745815247752069699e-02,1.590511879890195435e-02,2.153509189229261211e-16,7.315148056574279003e-05,2.359725179642209372e-06,8.584939430013713982e-17,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13, 24, 19, 17, 22]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 8, 12, 6, 28, 11, 27, 16, 10, 26, 20, 25, 15, 14, 21, 13, 24, 19, 17, 22]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.88, 0.92, 0.86, 1.08, 0.91, 1.07, 0.96, 0.9, 1.06, 1.0, 1.05, 0.95, 0.94, 1.01, 0.93, 1.04, 0.99, 0.97, 1.02]"
Angular Defect Greedy,30,30,1.910544925334037997e-02,0.051979143,0.100615303,1.910544925334037997e-02,4.562716082829976032e-03,6.417365285951795737e-17,6.745815247752069699e-02,1.590511879890195435e-02,2.153509189229261211e-16,7.315148056574241056e-05,2.359725179642827283e-06,8.584939430013713982e-17,6.745815247752069699e-02,4.185172570865941521e-02,4.209424771923629682e-02,"[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24, 13, 19, 17, 22]","[0, 30, 3, 5, 1, 23, 2, 7, 4, 29, 9, 12, 8, 28, 6, 11, 27, 16, 10, 26, 25, 20, 15, 14, 21, 24, 13, 19, 17, 22]","[0.8, 1.1, 0.83, 0.85, 0.81, 1.03, 0.82, 0.87, 0.84, 1.09, 0.89, 0.92, 0.88, 1.08, 0.86, 0.91, 1.07, 0.96, 0.9, 1.06, 1.05, 1.0, 0.95, 0.94, 1.01, 1.04, 0.93, 0.99, 0.97, 1.02]"
